Valor da Transação,Data/Hora da Transação,Localização da Transação,Data criação conta recebedor,Classe(transações anteriores),Classe (rótulo),Recorrência de envios do mesmo valor,Idade do titular do cartão,Classe(cartão temporário),Limite de crédito,Classe(nome lista devedores),Número de cartões complementares,Data ativação do cartão,Numero transações para outro pais,Número de transações suspeitas anteriormente,Valor médio das transações do usuário,Classe(histórico pagamento),Classe(emprego fixo),Tempo desde a ultima transação,Dispositivo de acesso novo?
140.78,2024-01-19 05:23:06,"25.096824, -170.996128",2020-11-19 05:23:06,0,1,0,35,0,20000,0,4,2021-01-12 05:23:06,0,0,364.77,bom,0,2024-01-07 22:18:56,0
50.89,2024-02-03 10:02:05,"11.024111, 77.767061",2016-02-23 10:02:05,1,0,0,75,1,1000,0,5,2016-04-17 10:02:05,5,2,452.3,bom,0,2024-01-18 01:52:26,0
17.95,2024-08-11 13:30:53,"-73.305748, -145.182104",2015-01-10 13:30:53,1,0,1,23,1,20000,0,3,2015-01-20 13:30:53,8,2,457.92,inadimplente,1,2024-07-14 12:51:03,0
6.24,2023-09-04 07:49:27,"36.822931, -163.503222",2021-01-14 07:49:27,1,1,0,47,0,10000,1,3,2021-04-05 07:49:27,5,1,376.74,atrasado,1,2023-08-25 03:43:51,1
535.93,2025-05-30 02:29:43,"36.327656, 66.07716",2024-07-12 02:29:43,0,0,0,38,1,10000,1,5,2024-10-08 02:29:43,8,1,253.66,inadimplente,1,2025-05-27 09:19:23,0
108.83,2025-07-01 01:40:51,"57.924467, 109.816488",2020-12-01 01:40:51,1,0,0,45,1,2000,1,3,2021-02-21 01:40:51,7,1,253.43,atrasado,0,2025-06-19 02:20:21,1
169.66,2024-02-19 16:26:23,"44.462486, -25.763822",2017-07-05 16:26:23,1,0,1,46,0,20000,1,0,2017-07-11 16:26:23,1,1,198.72,inadimplente,0,2024-01-30 04:35:16,0
103.65,2024-08-25 04:08:53,"-20.741884, 34.519834",2019-04-27 04:08:53,1,0,0,32,1,5000,0,2,2019-06-21 04:08:53,2,3,331.42,bom,1,2024-07-31 20:55:23,0
182.68,2024-12-02 07:26:42,"1.382701, -141.692104",2017-10-29 07:26:42,1,0,0,37,1,2000,0,4,2017-12-09 07:26:42,7,0,306.75,bom,1,2024-11-17 09:09:55,0
269.25,2024-11-30 22:27:32,"-79.57347, 136.083456",2023-12-14 22:27:32,0,0,1,26,0,2000,1,4,2024-01-04 22:27:32,4,4,157.53,inadimplente,1,2024-11-20 15:41:46,0
280.6,2024-11-25 09:18:56,"38.330815, -36.362772",2017-04-15 09:18:56,1,0,1,84,1,1000,0,1,2017-04-23 09:18:56,5,0,239.94,inadimplente,0,2024-10-27 19:44:00,0
345.83,2024-08-25 07:08:43,"-88.705649, 74.822741",2023-11-28 07:08:43,0,0,0,22,1,1000,0,2,2024-02-21 07:08:43,7,1,270.83,inadimplente,0,2024-07-28 13:49:55,1
39.05,2024-06-27 06:27:19,"-46.260496, -9.729741",2019-11-04 06:27:19,0,0,0,30,1,5000,1,3,2020-01-02 06:27:19,0,5,382.25,inadimplente,0,2024-06-24 07:50:12,1
112.06,2024-10-22 18:47:40,"41.078446, 108.213304",2023-07-03 18:47:40,0,0,0,42,1,2000,1,1,2023-08-07 18:47:40,7,1,177.92,bom,1,2024-09-26 01:37:09,0
237.37,2024-04-13 22:08:07,"-80.894101, 179.741689",2014-10-29 22:08:07,0,0,0,48,0,10000,1,3,2014-11-25 22:08:07,6,0,373.85,bom,1,2024-04-13 19:37:27,1
27.8,2024-04-29 09:57:03,"-42.26345, 102.265417",2019-02-22 09:57:03,1,0,1,80,0,2000,1,1,2019-03-01 09:57:03,9,5,317.14,inadimplente,0,2024-04-14 04:34:30,0
13.88,2024-10-13 13:20:18,"-80.974379, -8.356134",2015-02-21 13:20:18,0,0,0,83,0,2000,0,4,2015-03-01 13:20:18,10,1,152.15,atrasado,0,2024-09-15 21:37:07,0
529.37,2024-12-23 13:54:30,"14.20543, -165.693002",2023-12-24 13:54:30,1,0,1,51,0,5000,0,2,2024-02-12 13:54:30,2,5,228.02,inadimplente,1,2024-12-01 09:12:12,1
98.94,2024-01-01 05:54:32,"77.2233, 156.864343",2023-10-25 05:54:32,1,0,0,27,0,20000,1,1,2023-12-08 05:54:32,1,1,332.41,atrasado,1,2023-12-24 14:07:14,1
23.24,2024-08-16 10:03:53,"60.074092, 73.274373",2017-09-07 10:03:53,0,1,1,31,0,5000,0,0,2017-11-16 10:03:53,2,2,261.49,atrasado,0,2024-07-30 18:34:49,0
443.85,2023-10-26 03:52:04,"33.749483, 127.048614",2018-01-25 03:52:04,1,0,1,24,0,10000,1,0,2018-01-25 03:52:04,5,1,403.1,inadimplente,1,2023-10-18 07:36:41,1
442.56,2025-04-15 18:24:29,"9.302476, -26.032709",2025-02-05 18:24:29,0,0,0,37,0,5000,0,3,2025-02-21 18:24:29,0,2,393.13,atrasado,0,2025-03-29 09:31:49,0
133.17,2024-04-13 07:48:19,"32.772004, 60.096028",2020-03-27 07:48:19,1,0,0,48,0,2000,1,0,2020-04-18 07:48:19,5,3,333.13,inadimplente,0,2024-03-31 08:57:15,0
120.55,2024-06-02 18:14:09,"51.727412, -141.085574",2014-07-23 18:14:09,0,0,1,46,0,10000,1,2,2014-08-21 18:14:09,3,0,397.55,inadimplente,0,2024-05-14 09:59:22,1
111.75,2024-09-17 12:38:01,"-39.851449, -155.008528",2015-12-17 12:38:01,1,0,1,83,1,20000,1,0,2015-12-31 12:38:01,4,1,381.25,inadimplente,1,2024-09-15 16:03:39,0
654.68,2024-08-20 13:31:08,"17.382826, -55.55264",2015-09-26 13:31:08,1,0,1,83,0,10000,0,2,2015-10-01 13:31:08,6,0,435.62,inadimplente,0,2024-08-02 21:10:13,1
38.21,2023-09-17 22:03:05,"-77.404714, 59.125567",2019-12-05 22:03:05,1,0,0,56,1,10000,1,3,2020-03-03 22:03:05,4,4,336.14,bom,0,2023-08-28 12:11:46,1
442.17,2025-06-02 18:59:57,"31.91723, 145.009996",2018-06-08 18:59:57,1,0,1,18,1,5000,0,3,2018-08-21 18:59:57,9,5,453.8,atrasado,1,2025-05-12 08:16:53,1
221.9,2024-08-09 14:25:39,"31.612902, 4.022639",2015-08-16 14:25:39,0,0,0,54,1,1000,0,5,2015-09-24 14:25:39,3,1,308.7,bom,0,2024-08-07 08:35:05,0
113.22,2023-10-01 17:44:41,"87.108484, 40.05863",2015-01-19 17:44:41,0,0,1,71,0,10000,1,3,2015-02-19 17:44:41,2,5,270.1,inadimplente,0,2023-09-26 13:33:42,1
714.38,2024-01-18 12:15:02,"-50.608595, 109.479548",2016-02-29 12:15:02,1,0,0,49,0,10000,0,3,2016-05-24 12:15:02,8,4,447.79,inadimplente,1,2023-12-28 00:36:55,1
77.94,2024-09-10 07:52:02,"59.502451, 17.233902",2022-10-30 07:52:02,1,0,1,51,0,5000,1,5,2022-11-29 07:52:02,4,3,248.17,bom,1,2024-08-29 22:39:45,1
102.64,2024-05-02 13:41:50,"-29.547443, 141.48966",2023-05-08 13:41:50,0,0,0,47,1,2000,0,0,2023-06-30 13:41:50,6,2,391.54,inadimplente,1,2024-04-12 09:17:07,0
