Valor da Transação,Classe(transações anteriores),Classe (rótulo),Recorrência de envios do mesmo valor,Idade do titular do cartão,Classe(cartão temporário),Limite de crédito,Classe(nome lista devedores),Número de cartões complementares,Numero transações para outro pais,Número de transações suspeitas anteriormente,Valor médio das transações do usuário,Classe(emprego fixo),Dispositivo de acesso novo?,Hora da Transação,Dias desde criação da conta,Dias desde ativação cartão,Segundos desde última transação,Latitude,Longitude,pagamento_atrasado,pagamento_bom,pagamento_inadimplente
140.78,0,1,0,35,0,20000,0,4,0,0,364.77,0,0,5,1156,1102,975850.0,25.096824,-170.996128,False,True,False
50.89,1,0,0,75,1,1000,0,5,5,2,452.3,0,0,10,2902,2848,1411779.0,11.024111,77.767061,False,True,False
17.95,1,0,1,23,1,20000,0,3,8,2,457.92,1,0,13,3501,3491,2421590.0,-73.305748,-145.182104,False,False,True
6.24,1,1,0,47,0,10000,1,3,5,1,376.74,1,1,7,963,882,878736.0,36.822931,-163.503222,True,False,False
535.93,0,0,0,38,1,10000,1,5,8,1,253.66,1,0,2,322,234,234620.0,36.327656,66.07716,False,False,True
108.83,1,0,0,45,1,2000,1,3,7,1,253.43,0,1,1,1673,1591,1034430.0,57.924467,109.816488,True,False,False
169.66,1,0,1,46,0,20000,1,0,1,1,198.72,0,0,16,2420,2414,1770667.0,44.462486,-25.763822,False,False,True
103.65,1,0,0,32,1,5000,0,2,2,3,331.42,1,0,4,1947,1892,2099610.0,-20.741884,34.519834,False,True,False
182.68,1,0,0,37,1,2000,0,4,7,0,306.75,1,0,7,2591,2550,1289807.0,1.382701,-141.692104,False,True,False
269.25,0,0,1,26,0,2000,1,4,4,4,157.53,1,0,22,352,331,888346.0,-79.57347,136.083456,False,False,True
280.6,1,0,1,84,1,1000,0,1,5,0,239.94,0,0,9,2781,2773,2468096.0,38.330815,-36.362772,False,False,True
345.83,0,0,0,22,1,1000,0,2,7,1,270.83,0,1,7,271,186,2395128.0,-88.705649,74.822741,False,False,True
39.05,0,0,0,30,1,5000,1,3,0,5,382.25,0,1,6,1697,1638,254227.0,-46.260496,-9.729741,False,False,True
112.06,0,0,0,42,1,2000,1,1,7,1,177.92,1,0,18,477,442,2308231.0,41.078446,108.213304,False,True,False
237.37,0,0,0,48,0,10000,1,3,6,0,373.85,1,1,22,3454,3427,9040.0,-80.894101,179.741689,False,True,False
27.8,1,0,1,80,0,2000,1,1,9,5,317.14,0,0,9,1893,1886,1315353.0,-42.26345,102.265417,False,False,True
13.88,0,0,0,83,0,2000,0,4,10,1,152.15,0,0,13,3522,3514,2389391.0,-80.974379,-8.356134,True,False,False
529.37,1,0,1,51,0,5000,0,2,2,5,228.02,1,1,13,365,315,1917738.0,14.20543,-165.693002,False,False,True
98.94,1,0,0,27,0,20000,1,1,1,1,332.41,1,1,5,68,24,661638.0,77.2233,156.864343,True,False,False
23.24,0,1,1,31,0,5000,0,0,2,2,261.49,0,0,10,2535,2465,1438144.0,60.074092,73.274373,True,False,False
443.85,1,0,1,24,0,10000,1,0,5,1,403.1,1,1,3,2100,2100,677723.0,33.749483,127.048614,False,False,True
442.56,0,0,0,37,0,5000,0,3,0,2,393.13,0,0,18,69,53,1500760.0,9.302476,-26.032709,True,False,False
133.17,1,0,0,48,0,2000,1,0,5,3,333.13,0,0,7,1478,1456,1119064.0,32.772004,60.096028,False,False,True
120.55,0,0,1,46,0,10000,1,2,3,0,397.55,0,1,18,3602,3573,1671287.0,51.727412,-141.085574,False,False,True
111.75,1,0,1,83,1,20000,1,0,4,1,381.25,1,0,12,3197,3183,160462.0,-39.851449,-155.008528,False,False,True
654.68,1,0,1,83,0,10000,0,2,6,0,435.62,0,1,13,3251,3246,1527655.0,17.382826,-55.55264,False,False,True
38.21,1,0,0,56,1,10000,1,3,4,4,336.14,0,1,22,1382,1293,1763479.0,-77.404714,59.125567,False,True,False
442.17,1,0,1,18,1,5000,0,3,9,5,453.8,1,1,18,2551,2477,1852984.0,31.91723,145.009996,True,False,False
221.9,0,0,0,54,1,1000,0,5,3,1,308.7,0,0,14,3281,3242,193834.0,31.612902,4.022639,False,True,False
113.22,0,0,1,71,0,10000,1,3,2,5,270.1,0,1,17,3177,3146,447059.0,87.108484,40.05863,False,False,True
714.38,1,0,0,49,0,10000,0,3,8,4,447.79,1,1,12,2880,2795,1856287.0,-50.608595,109.479548,False,False,True
77.94,1,0,1,51,0,5000,1,5,4,3,248.17,1,1,7,681,651,983537.0,59.502451,17.233902,False,True,False
102.64,0,0,0,47,1,2000,0,0,6,2,391.54,1,0,13,360,307,1743883.0,-29.547443,141.48966,False,False,True
488.39,0,0,1,79,0,5000,1,3,8,5,332.88,0,0,22,3183,3130,2047782.0,-52.76981,-28.748334,False,False,True
669.24,1,0,1,39,1,2000,0,3,9,5,229.79,0,0,1,1622,1547,1797732.0,-40.871644,-5.168882,False,True,False
77.61,1,0,1,45,1,5000,1,3,6,2,267.23,1,0,0,1095,1060,81299.0,66.033244,-114.57755,False,True,False
511.15,0,0,0,21,0,2000,0,4,3,1,300.51,0,0,3,2692,2673,2365459.0,89.983409,-54.014276,True,False,False
162.08,0,0,0,38,1,1000,0,2,10,3,276.54,0,0,17,1540,1467,318752.0,-6.293883,-87.752269,True,False,False
